EarTag,LabID,CageID,date_of_birth,sacrifice_date,group,bw_13w,bw_15w,bw_24w,bw_54w,bw_56w,bw_93w,bw_95w,bw_64w,bw_103w,ipGTT01_age,ipGTT01_vol_glc,ipGTT01_0min_gly,ipGTT01_15min_gly,ipGTT01_30min_gly,ipGTT01_45min_gly,ipGTT01_60min_gly,ipGTT01_90min_gly,ipGTT01_120min_gly,ipGTT01_150min_gly,ipGTT01_180min_gly,ipGTT01_date,ipGTT01_done_by,VO2max01_age,VO2max01_VO2basal,VO2max01_RERbasal,VO2max01_VO2max,VO2max01_RERmax,VO2max01_distance_run,VO2max01_deltaVO2,VO2max01_deltaRER,VO2max01_VO2_increase_perc,VO2max01_RER_increase_perc,VO2max01_date,EchoMRI_age,EchoMRI_fat,EchoMRI_lean,EchoMRI_weight,EchoMRI_fat_perc,EchoMRI_lean_perc,EchoMRI_date,NIBP01_diastolic_average,NIBP01_systolic_average,NIBP01_pulse_average,NIBP02_diastolic_average,NIBP02_systolic_average,NIBP02_pulse_average,NIBP01_diastolic_stdev,NIBP01_systolic_stdev,NIBP01_pulse_stdev,NIBP02_diastolic_stdev,NIBP02_systolic_stdev,NIBP02_pulse_stdev,NIBP_age,bw_at_sacrifice,tissue_weight_at_sacrifice_heart,tissue_weight_at_sacrifice_liver,tissue_weight_at_sacrifice_epiWAT,tissue_weight_at_sacrifice_BAT,tissue_weight_at_sacrifice_gastrocnemius,tissue_weight_at_sacrifice_soleus
RHO-2870,11-R,SRHO-00200,2010.05.18,2010.11.09,young,28.29,,33.49,,,,,,,,,,,,,,,,,,,,16,78,0.834,119,0.979,500.4,41,0.145,52.56410256,17.38609113,2006.09.13,,,,,,,,111.6669456,123.1007415,627.8898128,97.88981737,120.1471853,673.2043991,14.4417832,10.04856446,25.16618056,15.34003018,9.681094179,19.21934659,17,33.49,0.194,1.204,1.3086,0.1797,,
RHO-2871,12-L,SRHO-00200,2010.05.18,2010.11.09,young,25.78,,28.59,,,,,,,,,,,,,,,,,,,,16,83.5,0.775,119,0.953,402.9,35.5,0.178,42.51497006,22.96774194,2006.09.13,,,,,,,,82.47883129,97.86339633,653.8571289,71.90591976,94.6458313,635.7141058,13.65001222,13.62498023,25.97307447,21.42761788,15.40855606,58.74552995,17,28.59,0.1744,1.1119,0.5551,0.0841,,
RHO-2872,13-RL,SRHO-00200,2010.05.18,2010.11.09,young,27.75,,30.47,,,,,,,,,,,,,,,,,,,,16,96.6,0.793,129,0.91,269.8,32.4,0.117,33.54037267,14.75409836,2006.09.13,,,,,,,,83.09759603,107.6433578,635.8851522,90.58525085,108.8259839,557.2524516,19.74396524,11.36272631,38.31820037,13.02771585,12.87650188,42.36364977,17,30.47,,1.2347,0.4765,0.0691,,
RHO-2873,14-2R,SRHO-00200,2010.05.18,2010.11.09,young,28.01,,37.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.28322347,116.5738138,668.1155221,82.42889751,105.5409094,628.6757634,9.704432217,14.56753032,30.0732296,11.61095322,9.100092581,70.75958467,17,37.49,0.1551,1.2906,1.9911,0.1359,0.3024,0.0208
RHO-2874,15-2L,SRHO-00200,2010.05.18,2010.11.09,young,27.9,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,0.1756,1.2449,1.2684,0.1211,0.377,0.0219
RHO-2875,16-R,SRHO-00230,2010.05.18,,young,28.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHO-2876,17-R,SRHO-00231,2010.05.18,2010.11.09,young,26.97,,27.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.91,0.1709,1.2277,0.5749,0.0992,0.3132,
RHO-2880,18-R,SRHO-00222,2009.08.10,2010.11.10,1_year,,,,33.87,,,,33.43,,,,,,,,,,,,,,,57,83,0.896,104,1.106,398.6,21,0.21,25.30120482,23.4375,2006.09.12,55,1.962,32.165,35.28,5.56122449,91.17063492,2010.08.30,94.8742288,121.4588879,711.3240153,90.35842015,110.6353885,720.7585775,18.29611767,16.39236557,34.26411624,6.223300484,8.587393766,17.67963937,58,33.43,0.1826,1.4712,0.9805,0.1355,0.3424,0.0247
RHO-2881,19-L,SRHO-00222,2009.08.10,,1_year,,,,35.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.36,33.438,36.56,6.455142232,91.46061269,2010.08.30,,,,,,,,,,,,,,,,,,,,
RHO-2882,20-RL,SRHO-00222,2009.08.10,,1_year,,,,33.63,,,,,,,,,,,,,,,,,,,57,60.3,0.869,99,1.081,442.7,38.7,0.212,64.17910448,24.39585731,2006.09.12,55,1.549,31.131,33.69,4.597803503,92.40427427,2010.08.30,123.9061143,155.9053639,689.1897714,108.174218,117.5144221,617.4677653,16.42950421,9.671677336,29.20020806,4.720293087,9.051847343,12.90181354,58,,,,,,,
RHO-2883,21-R,SRHO-00223,2009.08.10,2010.11.09,1_year,,,,33.88,,,,36.52,,,,,,,,,,,,,,,57,79.3,0.86,94,1.076,368.6,14.7,0.216,18.5372005,25.11627907,2006.09.12,55,4.818,28.201,33.96,14.18727915,83.0418139,2010.08.30,87.51640173,111.8392211,744.9256028,83.54784393,119.2124192,738.1378662,18.94547174,6.8245811,5.033532579,9.228815665,6.200051199,9.432683644,58,36.52,0.1781,1.3361,1.5253,0.1306,,
RHO-2884,22-L,SRHO-00223,2009.08.10,2010.11.09,1_year,,,,31.23,,,,32.07,,,,,,,,,,,,,,,,,,,,,,,,,,55,3.715,28.853,33.52,11.08293556,86.07696897,2010.08.30,77.97835859,123.3418262,696.311237,70.5164704,126.1913552,672.7185199,14.45618063,18.04691192,11.66327162,18.05111691,10.68368986,11.96861603,58,32.07,0.1902,1.302,0.7818,0.0812,,
RHO-2885,23-R,SRHO-00224,2009.08.10,,1_year,,,,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,3.294,27.518,31.88,10.33249686,86.3174404,2010.08.31,,,,,,,,,,,,,,,,,,,,
RHO-2886,24-R,SRHO-00225,2009.08.10,2010.11.09,1_year,,,,32.56,,,,30.21,,,,,,,,,,,,,,,57,73,0.818,112,1,321.8,39,0.182,53.42465753,22.24938875,2006.09.13,55,1.676,29.806,32.51,5.155336819,91.68255921,2010.08.31,,,,,,,,,,,,,,30.21,0.204,1.2227,0.3502,0.0832,,
RHO-2887,25-L,SRHO-00225,2009.08.10,2010.11.09,1_year,,,,27.47,,,,29.3,,,,,,,,,,,,,,,57,86,0.813,114,1.005,422.5,28,0.192,32.55813953,23.61623616,2006.09.13,55,2.787,24.608,28.33,9.837627956,86.86198376,2010.08.31,,,,,,,,,,,,,,29.3,0.1573,1.0676,0.795,0.0916,0.3251,0.0169
RHO-2888,26-RL,SRHO-00225,2009.08.10,2010.11.09,1_year,,,,30.58,,,,35.01,,,,,,,,,,,,,,,57,84.7,0.825,107,1.011,387.8,22.3,0.186,26.32821724,22.54545455,2006.09.13,55,3.052,28.231,32.33,9.440148469,87.32137334,2010.08.31,,,,,,,,,,,,,,35.01,0.1826,1.2438,1.1466,0.0901,0.3312,0.0174
RHO-2889,27-2R,SRHO-00225,2009.08.10,2010.11.09,1_year,,,,32.5,,,,31.05,,,,,,,,,,,,,,,57,78.7,0.806,107,0.956,247.7,28.3,0.15,35.95933926,18.61042184,2006.09.13,55,2.032,31.4,34.33,5.919021264,91.4651908,2010.08.31,,,,,,,,,,,,,,31.05,0.1753,1.2319,0.5116,0.0707,0.3431,0.0183
RHO-2890,28-R,SRHO-00226,2009.08.10,2010.11.10,1_year,,,,33.91,34.54,,,30.05,,56,350,137,380,369,388,385,316,218,211,179,2010.10.26,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,94.99395879,118.8469565,642.5433185,96.19278301,110.2453918,672.6494281,19.77164444,15.95359084,76.45460349,11.36563013,11.52107651,29.29729001,58,30.05,0.1777,1.2916,0.6507,0.1186,0.334,0.0244
RHO-2891,29-R,SRHO-00227,2009.08.10,2010.11.10,1_year,,,,29.51,28.87,,,28.14,,56,290,116,426,371,390,357,309,310,252,224,2010.10.26,SL-CT-CC-UDP,57,91.4,0.831,103,0.981,292.4,11.6,0.15,12.69146608,18.05054152,2006.09.14,,,,,,,,,,,,,,,,,,,,,28.14,0.1547,1.0255,0.6022,0.1499,0.3288,0.02
RHO-2892,30-L,SRHO-00227,2009.08.10,2010.11.10,1_year,,,,33.25,33.9,,,33.29,,56,340,131,463,374,390,365,358,338,304,270,2010.10.26,SL-CT-CC-UDP,57,83.8,0.767,111,0.949,280.8,27.2,0.182,32.45823389,23.72881356,2006.09.14,,,,,,,,,,,,,,,,,,,,,33.29,0.1694,1.0928,1.4361,0.1887,0.3111,0.0268
RHO-2893,31-RL,SRHO-00227,2009.08.10,2010.11.10,1_year,,,,33.77,34.02,,,33.74,,56,340,124,305,400,380,354,332,318,290,253,2010.10.26,SL-CT-CC-UDP,57,81.8,0.846,101,1.088,363.4,19.2,0.242,23.47188264,28.60520095,2006.09.14,,,,,,,,,,,,,,,,,,,,,33.74,0.141,1.1814,1.2193,0.212,0.353,0.0224
RHO-2894,32-2R,SRHO-00227,2009.08.10,2010.11.10,1_year,,,,33.96,34.66,,,34.45,,56,350,96,396,360,332,320,259,234,210,164,2010.10.26,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.45,0.1931,1.2243,1.3147,0.1976,0.3286,0.0263
RHO-2895,33-R,SRHO-00228,2009.08.10,2010.11.12,1_year,,,,33.73,34.11,,,33.81,,56,340,106,339,349,336,305,325,316,328,304,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,77.08582726,103.1575718,689.8591593,81.95098909,99.87778356,729.2883789,9.62838341,6.740551295,22.15762637,10.0678484,10.70295636,19.19411996,58,33.81,0.1441,1.1333,1.4232,0.088,0.3314,0.0226
RHO-2896,34-L,SRHO-00228,2009.08.10,2010.11.12,1_year,,,,33.79,35.4,,,34.66,,56,350,122,376,381,404,358,287,252,220,175,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,97.67068427,117.1653931,699.05413,75.70099122,102.6113003,687.8276018,7.590169414,5.180859726,14.3950757,7.038438255,6.378979757,21.6148339,58,34.66,0.1616,1.1917,1.6737,0.1072,0.3734,0.0272
RHO-2897,35-RL,SRHO-00228,2009.08.10,2010.11.12,1_year,,,,28.92,31.06,,,29.7,,56,310,124,360,385,377,373,308,313,300,222,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,83.36326853,96.26084409,717.827771,84.21323853,98.18903703,731.7901705,8.251451625,9.203787708,24.9680938,8.615852976,7.204715791,11.89415466,58,29.7,0.145,1.0024,1.0996,0.069,0.3101,0.0221
RHO-2898,36-2R,SRHO-00228,2009.08.10,2010.11.12,1_year,,,,32.22,33.93,,,33.04,,56,340,138,484,428,418,407,420,391,384,327,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,85.72380168,102.9944438,640.0895182,85.96402564,99.91207722,619.5076131,8.661376692,9.341603479,30.44688358,8.596008862,8.626023574,37.81156629,58,33.04,0.1554,1.1265,1.1422,0.082,0.3343,0.024
RHO-2899,37-R,SRHO-00229,2009.08.10,2010.11.12,1_year,,,,35.73,38.04,,,38.46,,56,380,148,385,406,381,351,330,382,384,360,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,95.59482158,123.2505906,681.1215777,90.49928792,112.3137348,667.6923261,3.582019944,9.876475493,19.6772512,11.11188232,13.58273562,22.01070221,58,38.46,0.181,1.3836,2.1628,0.1204,0.3371,0.0227
RHO-2900,38-R,SRHO-00218,2008.11.10,2010.11.12,2_year,,,,,,34.16,,,32.65,,,,,,,,,,,,,,,,,,,,,,,,,94,5.758,28.313,35.09,16.4092334,80.68680536,2010.08.30,,,,,,,,,,,,,,32.65,0.1787,1.2598,1.1392,0.0841,0.3257,0.0242
RHO-2901,39-L,SRHO-00218,2008.11.10,,2_year,,,,,,31.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,1.368,30.404,33.54,4.078711986,90.64997018,2010.08.30,,,,,,,,,,,,,,,,,,,,
RHO-2902,40-R,SRHO-00219,2008.11.10,2010.11.12,2_year,,,,,,33,32.8,,30.33,95,330,122,283,296,326,385,431,393,332,205,2010.10.26,SL-CT-CC-UDP,96,72.7,0.821,90,1.04,351,17.3,0.219,23.79642366,26.67478685,2006.09.12,94,4.888,28.397,34.31,14.24657534,82.76595745,2010.08.30,75.52999687,107.2724518,706.3003489,60.26609394,99.13951547,706.7395874,16.65326554,8.305430596,10.74021728,14.77738828,6.527542722,10.20309494,97,30.33,,,0.682,0.0719,0.2856,0.0196
RHO-2903,41-L,SRHO-00219,2008.11.10,2010.11.12,2_year,,,,,,37.23,36.66,,34.72,95,370,170,353,401,391,415,404,324,304,221,2010.10.26,SL-CT-CC-UDP,96,66.7,0.798,90,1.046,240.5,23.3,0.248,34.93253373,31.07769424,2006.09.12,94,7.636,28.972,37.73,20.23853697,76.78770209,2010.08.30,82.8113266,109.6156563,683.2133057,89.23840124,116.0334882,681.5123291,4.890615501,9.409397249,11.96395448,8.402313635,7.203452386,12.96123271,97,34.72,0.1718,1.1858,1.1965,0.0849,0.3078,0.0211
