"","Subject ID","Total.Mass","Time of Day","Group","Hourly Food Intake","Hourly Water Intake","Cumulative Food Intake","Oxygen Consumption","Carbon Dioxide Production","Energy Expenditure","Respiratory Exchange Ratio","Locomotor Activity","Ambulatory Activity","Body Temperature","Energy Balance"
"1","CP1350",23.1,"Full day","WT",0.1424,0,0.427199999999997,29.2376166666667,26.5231666666667,0.133333333333333,0.899666666666667,1715,217.166666666667,35.3833333333333,0.00906666666666669
"2","CP1350",23.1,"Light","WT",0.1424,0,0.427199999999997,29.2376166666667,26.5231666666667,0.133333333333333,0.899666666666667,1715,217.166666666667,35.3833333333333,0.00906666666666669
"3","CP1352",23.5,"Full day","WT",0.1068,0,0.320399999999996,25.93175,23.3287,0.116666666666667,0.893166666666667,1077.5,163.833333333333,36.4333333333333,-0.00986666666666667
"4","CP1352",23.5,"Light","WT",0.1068,0,0.320399999999996,25.93175,23.3287,0.116666666666667,0.893166666666667,1077.5,163.833333333333,36.4333333333333,-0.00986666666666667
"5","CP1353",24.4,"Light","WT",0.201733333333333,0,0.427199999999997,33.2544333333333,28.71375,0.15,0.852666666666667,1252.83333333333,138.6,36.3,0.0517333333333333
"6","CP1353",24.4,"Full day","WT",0.201733333333333,0,0.427199999999997,33.2544333333333,28.71375,0.15,0.852666666666667,1252.83333333333,138.6,36.3,0.0517333333333333
"7","CP1379",21.7,"Light","WT",0.189866666666667,0,0.569599999999988,30.6181,27.2936,0.133333333333333,0.872666666666667,1731.33333333333,251.666666666667,36.3833333333333,0.0565333333333333
"8","CP1379",21.7,"Full day","WT",0.189866666666667,0,0.569599999999988,30.6181,27.2936,0.133333333333333,0.872666666666667,1731.33333333333,251.666666666667,36.3833333333333,0.0565333333333333
"9","CP1383",20.6,"Full day","WT",0.0593333333333333,0,0.177999999999998,24.9118714285714,21.3395571428571,0.114285714285714,0.858571428571429,1119.57142857143,131.714285714286,36.4285714285714,-0.054952380952381
"10","CP1383",20.6,"Light","WT",0.0593333333333333,0,0.177999999999998,24.9118714285714,21.3395571428571,0.114285714285714,0.858571428571429,1119.57142857143,131.714285714286,36.4285714285714,-0.054952380952381
"11","CP1413",23.4,"Full day","WT",0,0,0,36.1889142857143,33.0231428571429,0.171428571428571,0.899,1311.57142857143,294.142857142857,36.3,-0.171428571428571
"12","CP1413",23.4,"Light","WT",0,0,0,36.1889142857143,33.0231428571429,0.171428571428571,0.899,1311.57142857143,294.142857142857,36.3,-0.171428571428571
"13","CP1415",22.6,"Light","WT",0.201733333333333,0,0.427199999999997,37.3191428571429,32.4332857142857,0.171428571428571,0.855142857142857,1327.71428571429,225,36.5142857142857,0.0303047619047619
"14","CP1415",22.6,"Full day","WT",0.201733333333333,0,0.427199999999997,37.3191428571429,32.4332857142857,0.171428571428571,0.855142857142857,1327.71428571429,225,36.5142857142857,0.0303047619047619
"15","CP1421",21.4,"Light","WT",0.130533333333333,0,0.3916,33.6062571428571,28.5517714285714,0.157142857142857,0.841,1182.57142857143,205.571428571429,36.6142857142857,-0.0266095238095238
"16","CP1421",21.4,"Full day","WT",0.130533333333333,0,0.3916,33.6062571428571,28.5517714285714,0.157142857142857,0.841,1182.57142857143,205.571428571429,36.6142857142857,-0.0266095238095238
"17","CP1424",22.8,"Full day","WT",0.166133333333333,0,0.284799999999999,41.1449142857143,47.8086857142857,0.214285714285714,1.17028571428571,1050.28571428571,189.714285714286,36.3714285714286,-0.0481523809523809
"18","CP1424",22.8,"Light","WT",0.166133333333333,0,0.284799999999999,41.1449142857143,47.8086857142857,0.214285714285714,1.17028571428571,1050.28571428571,189.714285714286,36.3714285714286,-0.0481523809523809
"19","CP1425",23.1,"Full day","WT",0.0356,0,0.142399999999999,29.5568,24.6809333333333,0.133333333333333,0.836,892.5,111,36.45,-0.0977333333333334
"20","CP1425",23.1,"Light","WT",0.0356,0,0.142399999999999,29.5568,24.6809333333333,0.133333333333333,0.836,892.5,111,36.45,-0.0977333333333334
