Subject,Habituation,Baseline,Week 1,Week 2,Week 3
545,-,7.995801587,10.4467,11.54305238,8.340342857
546,-,9.283336508,10.12175238,8.562935714,9.252568254
551,-,8.25131746,13.54340714,8.665457143,11.6080127
554,-,7.786960317,10.14970476,9.497428571,9.790809524
557,-,9.09317619,11.35357619,8.628783333,13.26234921
558,-,8.845063492,10.03087302,9.718283333,9.404628571
559,-,8.076204762,11.35860952,11.07235476,8.342453968
