,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day,Diet..LF.or.HF.,cal.g,FEED.KCAL.,FEED.ACC.Kcal.,room.temperature.C
23,1_D1,45.57,101,5/11/15 16:31,112.28448,88.8615,0.540793955,0.791396104,0.1,1.48,NA,NA,69,17,NA,NA,NA,NA,NA,5/11/15 16:00,5/12/15,7,0,HF,5.21,0.521,7.7108,22
24,1_D1,45.57,101,5/11/15 16:49,110.14269,86.40072,0.529631538,0.784443525,0.03,1.51,NA,NA,48,20,NA,NA,NA,NA,NA,5/11/15 16:00,5/12/15,7,0,HF,5.21,0.1563,7.8671,22
25,1_D1,45.57,101,5/11/15 17:07,110.82624,91.5957,0.538071056,0.826480263,0.11,1.62,NA,NA,85,21,NA,NA,NA,NA,NA,5/11/15 17:00,5/12/15,8,0,HF,5.21,0.5731,8.4402,22
26,1_D1,45.57,101,5/11/15 17:25,110.18826,89.95518,0.533742362,0.816377171,0,1.62,NA,NA,59,2,NA,NA,NA,NA,NA,5/11/15 17:00,5/12/15,8,0,HF,5.21,0,8.4402,22
27,1_D1,45.57,101,5/11/15 17:43,143.59107,118.52757,0.696983899,0.825452237,-0.02,1.6,NA,NA,835,373,NA,NA,NA,NA,NA,5/11/15 17:00,5/12/15,8,0,HF,5.21,-0.1042,8.336,22
28,1_D1,45.57,101,5/11/15 18:01,125.40864,93.4185,0.597556311,0.744912791,-0.01,1.59,NA,NA,378,147,NA,NA,NA,NA,NA,5/11/15 18:00,5/12/15,9,0,HF,5.21,-0.0521,8.2839,22
29,1_D1,45.57,101,5/11/15 18:19,122.90229,96.28941,0.590854012,0.783463107,0.1,1.69,NA,NA,122,43,NA,NA,NA,NA,NA,5/11/15 18:00,5/12/15,9,0,HF,5.21,0.521,8.8049,22
30,1_D1,45.57,101,5/11/15 18:37,141.08472,117.1149,0.685543961,0.830103359,0.03,1.72,NA,NA,910,391,NA,NA,NA,NA,NA,5/11/15 18:00,5/12/15,9,0,HF,5.21,0.1563,8.9612,22
31,1_D1,45.57,101,5/11/15 18:55,148.92276,118.29972,0.717744087,0.794369645,0.98,2.7,NA,NA,1624,897,NA,NA,NA,NA,NA,5/11/15 18:00,5/12/15,9,0,HF,5.21,5.1058,14.067,22
32,1_D1,45.57,101,5/11/15 19:13,127.91499,93.32736,0.607333036,0.72960456,0.02,2.72,NA,NA,610,172,NA,NA,NA,NA,NA,5/11/15 19:00,5/12/15,10,0,HF,5.21,0.1042,14.1712,22
33,1_D1,45.57,101,5/11/15 19:31,116.52249,88.31466,0.556891147,0.757919437,0.02,2.74,NA,NA,45,2,NA,NA,NA,NA,NA,5/11/15 19:00,5/12/15,10,0,HF,5.21,0.1042,14.2754,22
34,1_D1,45.57,101,5/11/15 19:49,115.42881,89.3172,0.553689763,0.773786024,-0.01,2.73,NA,NA,120,79,NA,NA,NA,NA,NA,5/11/15 19:00,5/12/15,10,0,HF,5.21,-0.0521,14.2233,22
35,1_D1,45.57,101,5/11/15 20:07,136.02645,108.59331,0.65618444,0.798324958,0.03,2.76,NA,NA,275,52,NA,NA,NA,NA,NA,5/11/15 20:00,5/12/15,11,0,HF,5.21,0.1563,14.3796,22
36,1_D1,45.57,101,5/11/15 20:25,160.13298,122.85672,0.766963607,0.767216847,0.74,3.5,NA,NA,1431,669,NA,NA,NA,NA,NA,5/11/15 20:00,5/12/15,11,0,HF,5.21,3.8554,18.235,22
