"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","acclimation"
32,"D3",30.03,23.43,4.29,"Full day","LFD",0.940871233,0,68.378,NA,114.0452135,106.5120516,0.567254516,0.930902973,885.2868852,452.3770492,NA,NA,0.373616717,TRUE
33,"D3",30.03,23.43,4.29,"Light","LFD",1.010177778,0,59.2864,NA,105.6901417,99.3644225,0.5264219,0.93685891,569.625,255.1166667,NA,NA,0.483755878,TRUE
34,"D4",39.23,22.51,14.48,"Full day","HFD",0.807906849,0,58.9251,NA,134.1945921,101.0994958,0.64067693,0.752330933,533.4485597,144.6995885,NA,NA,0.16722992,TRUE
35,"D4",39.23,22.51,14.48,"Dark","HFD",0.958921622,0,58.9251,NA,144.47488,108.1879151,0.689031336,0.747390706,728.6747967,216.5365854,NA,NA,0.269890285,TRUE
36,"D4",39.23,22.51,14.48,"Light","HFD",0.652697222,0,45.0665,NA,123.657297,93.833866,0.591113663,0.757394666,333.3416667,71.06666667,NA,NA,0.061583559,TRUE
37,"D5",34.13,22.74,8.73,"Light","LFD",0.764,0,49.3544,NA,125.5473267,112.5852903,0.619301346,0.894730321,390.45,165.075,NA,NA,0.144698654,TRUE
38,"D5",34.13,22.74,8.73,"Dark","LFD",0.888924324,0,60.356,NA,139.5739797,127.987652,0.691615397,0.915276291,879.0731707,438.7642276,NA,NA,0.197308927,TRUE
39,"D5",34.13,22.74,8.73,"Full day","LFD",0.827317808,0,60.356,NA,132.6472374,120.3815475,0.655904754,0.905130133,637.7777778,303.6090535,NA,NA,0.171413054,TRUE
40,"D7",28.88,21.78,4.5,"Dark","LFD",0.834205405,0,59.9358,NA,126.9189966,120.0335154,0.632944834,0.945581872,850.7317073,401.203252,NA,NA,0.201260572,TRUE
41,"D7",28.88,21.78,4.5,"Light","LFD",0.807505556,0,50.424,NA,115.4285352,106.8345865,0.57306291,0.921913463,398.6916667,147.8083333,NA,NA,0.234442646,TRUE
42,"D7",28.88,21.78,4.5,"Full day","LFD",0.821038356,0,59.9358,NA,121.2446947,113.5155258,0.603373513,0.933893769,627.5020576,276.0699588,NA,NA,0.217664843,TRUE
43,"D8",26.87,21.75,3.24,"Light","LFD",0.788405556,0,47.5208,NA,108.7053227,101.783648,0.540980391,0.931990871,335.6833333,131.6,NA,NA,0.247425164,TRUE
44,"D8",26.87,21.75,3.24,"Dark","LFD",0.714443243,0,54.7788,NA,124.4311467,114.5888,0.617118362,0.917333347,662.9918699,263.4390244,NA,NA,0.097324881,TRUE
45,"D8",26.87,21.75,3.24,"Full day","LFD",0.750917808,0,54.7788,NA,116.6653077,108.2652681,0.579519364,0.92457163,501.3580247,198.3333333,NA,NA,0.171398444,TRUE
46,"D9",44.09,24.49,17.7,"Dark","HFD",1.426413514,0,92.7901,NA,158.4281874,118.741988,0.755694125,0.747817073,649.1219512,239.3252033,NA,NA,0.670719388,TRUE
47,"D9",44.09,24.49,17.7,"Light","HFD",1.123044444,0,74.0862,NA,146.0450316,111.9174889,0.699344212,0.76522389,367.7833333,132.4666667,NA,NA,0.423700232,TRUE
48,"D9",44.09,24.49,17.7,"Full day","HFD",1.276806849,0,92.7901,NA,152.3130487,115.371865,0.727867008,0.756413032,510.1893004,186.5555556,NA,NA,0.548939842,TRUE
49,"M1",24.75,21.71,1.805,"Full day","LFD",0.495553425,0,36.1754,NA,97.47945205,90.19178082,0.48391863,0.920707741,4580.589041,3322.328767,NA,NA,0.011634795,TRUE
50,"M1",24.75,21.71,1.805,"Light","LFD",0.322118919,0,36.1754,NA,91.45945946,80.21621622,0.449160865,0.873788434,2230.756757,1520.864865,NA,NA,-0.127041946,TRUE
51,"M1",24.75,21.71,1.805,"Dark","LFD",0.673805556,0,33.4632,NA,103.6666667,100.4444444,0.519641889,0.968930362,6995.694444,5173.833333,NA,NA,0.154163667,TRUE
52,"M10",33.65,22.265,10.585,"Dark","HFD",0.473241667,0,25.3206,NA,114.1111111,87.88888889,0.546917,0.7694396,3760.75,2580.305556,NA,NA,-0.073675333,TRUE
