"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
31,"D3",23.81,18.51,2.64,"Full day","UC Davis",0.548806667,0,32.3554,NA,100.5091183,93.05221809,0.499022199,0.921653152,0.198447078,522.9246231,NA,NA,0.049784468,TRUE
32,"D3",23.81,18.51,2.64,"Dark","UC Davis",0.74872,0,32.3554,NA,109.8713229,106.1570247,0.550412566,0.966109911,0.30429094,836.2771084,NA,NA,0.198307434,TRUE
33,"D3",23.81,18.51,2.64,"Light","UC Davis",0.406011429,0,31.5914,NA,93.81029957,83.67550302,0.462251505,0.889843575,0.122713969,298.7155172,NA,NA,-0.056240077,TRUE
34,"D4",21.69,16.85,2.63,"Light","UC Davis",0.411468571,0,28.8792,NA,89.25569017,78.86616504,0.438982653,0.882874462,0.106719493,171.0769231,NA,NA,-0.027514082,TRUE
35,"D4",21.69,16.85,2.63,"Dark","UC Davis",0.614256,0,29.605,NA,107.0559216,99.43193518,0.531879092,0.927913892,0.256730076,599.0843373,NA,NA,0.082376908,TRUE
36,"D4",21.69,16.85,2.63,"Full day","UC Davis",0.495963333,0,29.605,NA,96.6427862,87.40095965,0.477534675,0.901565826,0.168973885,348.7,NA,NA,0.018428658,TRUE
37,"D5",22.36,17.45,2.54,"Dark","UC Davis",0.640232,0,29.1466,NA,115.7196786,107.8816212,NA,NA,0.241556432,600.1204819,NA,NA,NA,TRUE
38,"D5",22.36,17.45,2.54,"Light","UC Davis",0.375451429,0,28.7646,NA,102.7306332,88.53009385,NA,NA,0.090910782,188.6068376,NA,NA,NA,TRUE
39,"D5",22.36,17.45,2.54,"Full day","UC Davis",0.485776667,0,29.1466,NA,108.121087,96.5609777,NA,NA,0.153428727,359.385,NA,NA,NA,TRUE
40,"D7",22.36,17.22,2.78,"Dark","UC Davis",0.597448,0,27.2748,NA,111.9890735,102.9308632,NA,NA,0.29099233,776.804878,NA,NA,NA,TRUE
41,"D7",22.36,17.22,2.78,"Light","UC Davis",0.352531429,0,27.0838,NA,97.03066915,84.95388855,NA,NA,0.08477442,153.7948718,NA,NA,NA,TRUE
42,"D7",22.36,17.22,2.78,"Full day","UC Davis",0.45458,0,27.2748,NA,103.1944338,92.36148613,NA,NA,0.169748634,410.5125628,NA,NA,NA,TRUE
43,"D8",21.15,16.6,2.31,"Light","UC Davis",0.333977143,0,29.2994,NA,97.91926547,82.17704479,NA,NA,0.066661086,95.38461538,NA,NA,NA,TRUE
44,"D8",21.15,16.6,2.31,"Full day","UC Davis",0.495963333,0,29.7578,NA,104.8931078,93.44372603,NA,NA,0.123193771,239.6984925,NA,NA,NA,TRUE
45,"D8",21.15,16.6,2.31,"Dark","UC Davis",0.722744,0,29.7578,NA,114.8435902,109.5193566,NA,NA,0.203856259,445.6097561,NA,NA,NA,TRUE
46,"D9",23.2,18.03,2.98,"Dark","UC Davis",0.47368,0,28.1534,NA,117.3812488,103.3509951,NA,NA,0.211475888,515.2439024,NA,NA,NA,TRUE
