,group1,group2,group3,group4,group_names,diet_names,dietCal,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.6,14.7355,1.062317,Y7
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.6,14.35105,1.640567,Y8
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.85,15.37325,1.865015,Y9
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.8,15.36125,1.91354,Y10
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.5,14.6509,1.473765,Y11
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.1,14.6819,1.096827,Y12
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,18.35,13.9532,1.17415,Y13
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.55,15.2508,1.825665,Y14
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20,14.911,1.475415,Y15
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.5,14.49355,1.669435,Y16
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
